epoch,lr-AdamW,step,train_loss,val_loss
,0.001,0,,
0,,3,,0.32643622159957886
0,,3,0.4480615258216858,
,0.001,4,,
1,,7,,0.27881988883018494
1,,7,0.37924039363861084,
,0.001,8,,
2,,11,,0.2498323768377304
2,,11,0.31643956899642944,
,0.001,12,,
3,,15,,0.1866293102502823
3,,15,0.27350327372550964,
,0.001,16,,
4,,19,,0.14851127564907074
4,,19,0.23174826800823212,
,0.001,20,,
5,,23,,0.13508820533752441
5,,23,0.21628409624099731,
,0.001,24,,
6,,27,,0.11570025980472565
6,,27,0.1897483766078949,
,0.001,28,,
7,,31,,0.10819735378026962
7,,31,0.15241149067878723,
,0.001,32,,
8,,35,,0.1041015088558197
8,,35,0.14832787215709686,
,0.001,36,,
9,,39,,0.09542076289653778
9,,39,0.1362328678369522,
,0.001,40,,
10,,43,,0.0804845318198204
10,,43,0.11276392638683319,
,0.001,44,,
11,,47,,0.08415871113538742
11,,47,0.11222630739212036,
,0.001,48,,
12,,51,,0.07642112672328949
12,,51,0.1060173287987709,
,0.001,52,,
13,,55,,0.07287159562110901
13,,55,0.10217850655317307,
,0.001,56,,
14,,59,,0.057091712951660156
14,,59,0.08396052569150925,
,0.001,60,,
15,,63,,0.05854513868689537
15,,63,0.08353870362043381,
,0.001,64,,
16,,67,,0.058623529970645905
16,,67,0.07776918262243271,
,0.001,68,,
17,,71,,0.05908065289258957
17,,71,0.07357638329267502,
,0.001,72,,
18,,75,,0.050895027816295624
18,,75,0.07994744926691055,
,0.001,76,,
19,,79,,0.051380377262830734
19,,79,0.0646442100405693,
,0.001,80,,
20,,83,,0.034516848623752594
20,,83,0.06497690826654434,
,0.001,84,,
21,,87,,0.04007111117243767
21,,87,0.06041290611028671,
,0.001,88,,
22,,91,,0.04814428836107254
22,,91,0.06277172267436981,
,0.001,92,,
23,,95,,0.03635046258568764
23,,95,0.052757568657398224,
,0.001,96,,
24,,99,,0.03729892149567604
24,,99,0.051035091280937195,
,0.001,100,,
25,,103,,0.03765775263309479
25,,103,0.05215732753276825,
,0.001,104,,
26,,107,,0.03249106556177139
26,,107,0.05082221329212189,
,0.001,108,,
27,,111,,0.03019576519727707
27,,111,0.04524197429418564,
,0.001,112,,
28,,115,,0.029705746099352837
28,,115,0.04515358433127403,
,0.001,116,,
29,,119,,0.0272209532558918
29,,119,0.04632364958524704,
,0.001,120,,
30,,123,,0.03441057726740837
30,,123,0.04213355481624603,
,0.001,124,,
31,,127,,0.031029552221298218
31,,127,0.03990623354911804,
,0.001,128,,
32,,131,,0.024976545944809914
32,,131,0.04013126343488693,
,0.001,132,,
33,,135,,0.021073410287499428
33,,135,0.03810196369886398,
,0.001,136,,
34,,139,,0.02672656811773777
34,,139,0.0331677570939064,
,0.001,140,,
35,,143,,0.0192111786454916
35,,143,0.03444549813866615,
,0.001,144,,
36,,147,,0.026905016973614693
36,,147,0.03226332366466522,
,0.001,148,,
37,,151,,0.019181329756975174
37,,151,0.032709602266550064,
,0.001,152,,
38,,155,,0.022142117843031883
38,,155,0.028804264962673187,
,0.001,156,,
39,,159,,0.01757035218179226
39,,159,0.027165178209543228,
,0.001,160,,
40,,163,,0.0201414804905653
40,,163,0.026874307543039322,
,0.001,164,,
41,,167,,0.021025698632001877
41,,167,0.026738908141851425,
,0.001,168,,
42,,171,,0.019578393548727036
42,,171,0.024002013728022575,
,0.001,172,,
43,,175,,0.016248321160674095
43,,175,0.02460477687418461,
,0.001,176,,
44,,179,,0.013311286456882954
44,,179,0.022515317425131798,
,0.001,180,,
45,,183,,0.02096746116876602
45,,183,0.02099551446735859,
,0.001,184,,
46,,187,,0.017678946256637573
46,,187,0.021343940868973732,
,0.001,188,,
47,,191,,0.015984244644641876
47,,191,0.02096797712147236,
,0.001,192,,
48,,195,,0.016797546297311783
48,,195,0.020092779770493507,
,0.001,196,,
49,,199,,0.015493909828364849
49,,199,0.019052384421229362,
