epoch,lr-AdamW,step,test_acc,test_f1,test_loss,test_precision,test_recall,train_acc,train_f1,train_loss,train_precision,train_recall,val_acc,val_f1,val_loss,val_precision,val_recall
,0.001,0,,,,,,,,,,,,,,,
0,,3,,,,,,,,,,,0.0,0.0,3.26725697517395,0.0,0.0
0,,3,,,,,,0.043103449046611786,0.004500109236687422,3.256920576095581,0.0024341484531760216,0.03756265714764595,,,,,
,0.001,4,,,,,,,,,,,,,,,
1,,7,,,,,,,,,,,0.03333333507180214,0.005370370578020811,3.3421943187713623,0.002843137364834547,0.04833333566784859
1,,7,,,,,,0.06034482643008232,0.00999852828681469,3.2252328395843506,0.006148782093077898,0.05604575574398041,,,,,
,0.001,8,,,,,,,,,,,,,,,
2,,11,,,,,,,,,,,0.0,0.0,3.3047378063201904,0.0,0.0
2,,11,,,,,,0.06896551698446274,0.009767540730535984,3.1969449520111084,0.005481472238898277,0.06259030103683472,,,,,
,0.001,12,,,,,,,,,,,,,,,
3,,15,,,,,,,,,,,0.06666667014360428,0.007435897830873728,3.2787885665893555,0.0040277778171002865,0.04833333566784859
3,,15,,,,,,0.07758620381355286,0.021861178800463676,3.1701242923736572,0.026380114257335663,0.05968567356467247,,,,,
,0.001,16,,,,,,,,,,,,,,,
4,,19,,,,,,,,,,,0.06666667014360428,0.007365079130977392,3.3901145458221436,0.0040027606301009655,0.04603174701333046
4,,19,,,,,,0.12068965286016464,0.037009913474321365,3.157020330429077,0.028855664655566216,0.0981907919049263,,,,,
,0.001,20,,,,,,,,,,,,,,,
5,,23,,,,,,,,,,,0.06666667014360428,0.012083333916962147,3.212092161178589,0.006904762703925371,0.04833333566784859
5,,23,,,,,,0.11206896603107452,0.029209760949015617,3.094148635864258,0.029357928782701492,0.08440928906202316,,,,,
,0.001,24,,,,,,,,,,,,,,,
6,,27,,,,,,,,,,,0.03333333507180214,0.015343916602432728,3.2390549182891846,0.011507936753332615,0.02301587350666523
6,,27,,,,,,0.17241379618644714,0.06988009065389633,2.9950735569000244,0.05445364862680435,0.16670751571655273,,,,,
,0.001,28,,,,,,,,,,,,,,,
7,,31,,,,,,,,,,,0.10000000149011612,0.08219954371452332,3.103628635406494,0.07825396955013275,0.09206349402666092
7,,31,,,,,,0.26724138855934143,0.14255152642726898,2.7662811279296875,0.13679036498069763,0.1977892965078354,,,,,
,0.001,32,,,,,,,,,,,,,,,
8,,35,,,,,,,,,,,0.13333334028720856,0.04782519489526749,3.033214569091797,0.03273368626832962,0.09206349402666092
8,,35,,,,,,0.3017241358757019,0.15584924817085266,2.6236634254455566,0.15636233985424042,0.2152412235736847,,,,,
,0.001,36,,,,,,,,,,,,,,,
9,,39,,,,,,,,,,,0.13333334028720856,0.0793650820851326,3.44012451171875,0.08857142925262451,0.10238096117973328
9,,39,,,,,,0.32758620381355286,0.18723833560943604,2.437485694885254,0.18642336130142212,0.2340068817138672,,,,,
,0.001,40,,,,,,,,,,,,,,,
10,,43,,,,,,,,,,,0.3333333432674408,0.1527417004108429,3.0275044441223145,0.1347474753856659,0.21969696879386902
10,,43,,,,,,0.4051724076271057,0.24127911031246185,2.25736665725708,0.22652198374271393,0.3209967315196991,,,,,
,0.001,44,,,,,,,,,,,,,,,
11,,47,,,,,,,,,,,0.3333333432674408,0.19699496030807495,2.9171109199523926,0.18381313979625702,0.24166665971279144
11,,47,,,,,,0.3448275923728943,0.21341653168201447,2.223125696182251,0.1973358392715454,0.28260233998298645,,,,,
